model_id,model_name,family,params_B,size_parsed,cost,pool,error_rate
24,cognitivecomputations__yayi2-30b-llama,llama,30.0,True,0.8238667,train,0.57460827
25,meta-llama__LlamaGuard-7b,llama-2,7.0,True,0.5310424,test,0.66153675
26,NousResearch__Nous-Hermes-13b,nousresearch,13.0,True,0.65560323,train,0.6241695
27,tiiuae__falcon-40b-instruct,falcon,40.0,True,0.88175565,test,0.5975948
28,meta-llama__Llama-2-7b-chat-hf,llama-2,7.0,True,0.5310454,test,0.63700837
29,mosaicml__mpt-7b-chat,mosaicml,7.0,True,0.5310464,test,0.6835982
30,Qwen__Qwen1.5-32B-Chat,qwen,32.0,True,0.8368588,train,0.48050347
31,NousResearch__Nous-Hermes-2-Yi-34B,yi,34.0,True,0.8490584,train,0.45617133
32,deepseek-ai__deepseek-coder-6.7b-instruct,deepseek,6.7,True,0.5222357,train,0.6997449
33,google__gemma-7b-it,gemma,7.0,True,0.5310504,train,0.7694054
34,EleutherAI__llemma_34b,eleutherai,34.0,True,0.8490614,test,0.60662127
35,zhengr__MixTAO-7Bx2-MoE-v8.1,zhengr,14.0,True,0.6705239,test,0.52852297
36,yam-peleg__Experiment26-7B,yam-peleg,7.0,True,0.5310534,train,0.53404534
37,meta-llama__Meta-Llama-3-8B,llama-3,8.0,True,0.5579229,test,0.5240378
38,mosaicml__mpt-30b-instruct,mosaicml,30.0,True,0.82388073,test,0.6241415
39,fblgit__UNA-SimpleSmaug-34b-v1beta,fblgit,34.0,True,0.84906644,train,0.44980797
40,FelixChao__vicuna-7B-physics,vicuna,7.0,True,0.5310574,train,0.65979874
41,TheBloke__koala-13B-HF,koala,13.0,True,0.65561825,train,0.6523421
42,meta-llama__Meta-Llama-3-70B,llama-3,70.0,True,0.9943736,test,0.41541222
43,Plaban81__Moe-4x7b-math-reason-code,plaban81,28.0,True,0.81000334,test,0.551033
44,meta-math__MetaMath-Mistral-7B,mistral,7.0,True,0.5310614,train,0.56028366
45,BioMistral__BioMistral-7B,mistral,7.0,True,0.5310624,train,0.61292857
46,FelixChao__Scorpio-7B,felixchao,7.0,True,0.5310634,train,0.5291677
47,SciPhi__SciPhi-Self-RAG-Mistral-7B-32k,mistral,7.0,True,0.5310644,train,0.5686934
48,microsoft__phi-2,phi,2.7,True,0.33937642,test,0.5901943
49,CausalLM__34b-beta,causallm,34.0,True,0.8490764,test,0.4197292
50,meta-llama__Meta-Llama-3-70B-Instruct,llama-3,70.0,True,0.9943816,test,0.39716312
51,meta-math__MetaMath-Llemma-7B,meta-math,7.0,True,0.5310684,train,0.6500995
52,lmsys__vicuna-7b-v1.5-16k,vicuna,7.0,True,0.5310694,train,0.6315981
53,cloudyu__Mixtral_11Bx2_MoE_19B,mixtral,19.0,True,0.7319892,train,0.51431054
54,Qwen__Qwen1.5-4B-Chat,qwen,4.0,True,0.41846842,train,0.6106299
55,FelixChao__vicuna-7B-chemical,vicuna,7.0,True,0.5310724,train,0.66117233
56,HuggingFaceH4__zephyr-7b-beta,zephyr,7.0,True,0.5310734,test,0.5632271
57,OpenAssistant__oasst-sft-4-pythia-12b-epoch-3.5,pythia,12.0,True,0.63952845,test,0.74243826
58,BioMistral__BioMistral-7B-DARE,mistral,7.0,True,0.5310754,train,0.5783085
59,Biomimicry-AI__ANIMA-Nectar-v2,biomimicry-ai,7.2,True,0.5367448,train,0.59417486
60,microsoft__phi-1_5,phi,1.3,True,0.19232304,test,0.65721977
61,meta-llama__Meta-Llama-Guard-2-8B,llama-3,8.0,True,0.5579469,test,0.5442772
62,rishiraj__CatPPT-base,rishiraj,7.2,True,0.5367478,test,0.5270933
63,kyujinpy__Sakura-SOLRCA-Math-Instruct-DPO-v1,solar,10.7,True,0.6164626,train,0.5157402
64,meta-llama__Meta-Llama-3-8B-Instruct,llama-3,8.0,True,0.5579499,test,0.5089564
65,google__gemma-2b-it,gemma,2.0,True,0.27900794,train,0.73593473
66,upstage__SOLAR-10.7B-Instruct-v1.0,solar,10.7,True,0.6164656,train,0.5185715
67,CorticalStack__pastiche-crown-clown-7b-dare-dpo,corticalstack,7.0,True,0.5310844,train,0.53314835
68,01-ai__Yi-6B,yi,6.0,True,0.500068,train,0.5610686
69,codefuse-ai__CodeFuse-DeepSeek-33B,deepseek,33.0,True,0.8430895,train,0.6393911
70,abhishek__zephyr-beta-math,zephyr,7.2,True,0.5367558,test,0.58935326
71,bardsai__jaskier-7b-dpo-v5.6,bardsai,7.0,True,0.5310884,train,0.53300816
72,allenai__tulu-2-dpo-70b,tulu,70.0,True,0.9944036,test,0.49807978
73,Harshvir__Llama-2-7B-physics,llama-2,7.0,True,0.5310904,test,0.6376812
74,lmsys__vicuna-13b-v1.5-16k,vicuna,13.0,True,0.6556513,train,0.60521966
75,shleeeee__mistral-ko-tech-science-v1,mistral,7.2,True,0.5367608,train,0.56771225
76,JaeyeonKang__CCK_Asura_v1,jaeyeonkang,34.0,True,0.8491034,train,0.45238695
77,codellama__CodeLlama-7b-hf,codellama,7.0,True,0.5310944,train,0.72589916
78,Nexusflow__Starling-LM-7B-beta,starling,7.0,True,0.5310954,train,0.51890785
79,microsoft__Orca-2-13b,microsoft,13.0,True,0.6556563,test,0.5549015
80,Neko-Institute-of-Science__metharme-7b,neko-institute-of-science,7.0,True,0.5310974,train,0.7173212
81,bigcode__octocoder,starcoder,15.5,True,0.69105005,test,0.7417374
82,PharMolix__BioMedGPT-LM-7B,pharmolix,7.0,True,0.5310994,test,0.65550977
83,SUSTech__SUS-Chat-34B,sustech,34.0,True,0.8491104,train,0.4486867
84,kevin009__llamaRAGdrama,llama,7.2,True,0.5367698,train,0.54517424
85,meta-llama__Llama-2-70b-chat-hf,llama-2,70.0,True,0.9944166,test,0.5487343
86,TheBloke__CodeLlama-70B-Instruct-AWQ,codellama,70.0,True,0.9944176,train,0.6059765
87,openchat__openchat_3.5,openchat,7.2,True,0.5367728,train,0.53113
88,dfurman__HermesBagel-34B-v0.1,dfurman,34.0,True,0.84911543,test,0.4429961
89,project-baize__baize-v2-13b,project-baize,13.0,True,0.65566623,test,0.63549465
90,augmxnt__shisa-base-7b-v1,augmxnt,7.0,True,0.5311074,train,0.77798337
91,lmsys__vicuna-7b-v1.5,vicuna,7.0,True,0.5311084,train,0.6315421
92,Intel__neural-chat-7b-v3-3,intel,7.0,True,0.5311094,train,0.5508648
93,AdaptLLM__medicine-LLM-13B,adaptllm,13.0,True,0.6556702,train,0.6255992
94,openchat__openchat-3.5-0106,openchat,7.2,True,0.5367798,train,0.51638496
95,deepseek-ai__deepseek-llm-67b-chat,deepseek,67.0,True,0.98561287,train,0.47369158
96,FelixChao__llama2-13b-math1.2,llama-2,13.0,True,0.65567327,test,0.6129566
97,MaziyarPanahi__WizardLM-Math-70B-v0.1,maziyarpanahi,70.0,True,0.9944286,train,0.5021725
98,01-ai__Yi-6B-200K,yi,6.0,True,0.500098,train,0.57253385
99,WizardLM__WizardLM-70B-V1.0,wizardlm,70.0,True,0.9944306,test,0.5364842
100,bigscience__bloom-7b1,bloom,7.1,True,0.53397155,test,0.7109298
101,sail__Sailor-7B,sail,7.0,True,0.5311184,train,0.6085275
102,codellama__CodeLlama-13b-Instruct-hf,codellama,13.0,True,0.6556792,train,0.6667508
103,Writer__palmyra-med-20b,writer,20.0,True,0.7423602,train,0.6482494
104,Qwen__Qwen1.5-0.5B-Chat,qwen,0.5,True,0.000104,train,0.73293525
105,databricks__dolly-v2-12b,databricks,12.0,True,0.6395765,test,0.7460544
106,nomic-ai__gpt4all-13b-snoozy,nomic-ai,13.0,True,0.6556833,train,0.651361
107,stabilityai__stablelm-tuned-alpha-7b,stablelm,7.0,True,0.5311244,test,0.75438005
108,AdaptLLM__medicine-chat,adaptllm,7.0,True,0.5311254,train,0.6284865
109,AdaptLLM__medicine-LLM,adaptllm,7.0,True,0.5311264,train,0.6682084
110,EleutherAI__pythia-12b,pythia,12.0,True,0.6395815,test,0.7589213
111,Q-bert__Optimus-7B,q-bert,7.0,True,0.5311284,train,0.5423149
